Style,Title,Artist,Genre,NORMAL Level,NORMAL Notes,NORMAL Record,NORMAL KAVG,HYPER Level,HYPER Notes,HYPER Record,HYPER KAVG,ANOTHER Level,ANOTHER Notes,ANOTHER Record,ANOTHER KAVG,LEGGENDARIA Level,LEGGENDARIA Notes,LEGGENDARIA Record,LEGGENDARIA KAVG,LEGGENDARIA Name
1st&substream,5.1.1.,dj nagureo,PIANO AMBIENT,1,0,0,0,6,0,0,0,10,786,1568,1449,0,0,0,0,5.1.1.
1st&substream,GRADIUSIC CYBER,TAKA,DIGI-ROCK,5,0,0,0,6,0,0,0,7,609,1209,1112,0,0,0,0,GRADIUSIC CYBER
1st&substream,R3,tiger YAMATO,RAVE,4,0,0,0,5,0,0,0,6,454,905,833,0,0,0,0,R3
1st&substream,Macho Gang,ANAL SPYDER,TRIBAL HOUSE,2,0,0,0,7,0,0,0,10,837,1658,1409,0,0,0,0,Macho Gang
1st&substream,THE EARTH LIGHT,L.E.D. LIGHT,TRANCE,4,0,0,0,7,0,0,0,8,581,1159,1038,0,0,0,0,THE EARTH LIGHT
1st&substream,GAMBOL,SLAKE,BIG BEAT,1,0,0,0,1,137,274,247,0,0,0,0,0,0,0,0,GAMBOL
1st&substream,GENOM SCREAMS,L.E.D. LIGHT,TRANCE,3,0,0,0,6,0,0,0,9,536,1070,993,0,0,0,0,GENOM SCREAMS
1st&substream,22DUNK,SLAKE,TECHNO,3,0,0,0,4,0,0,0,5,329,656,612,0,0,0,0,22DUNK
1st&substream,Dr.LOVE,baby weapon feat.Asuka.M,DANCE POP,2,0,0,0,3,0,0,0,3,290,580,543,0,0,0,0,Dr.LOVE
1st&substream,deep in you,dj nagureo,DANCE POP,3,0,0,0,3,0,0,0,5,333,665,607,0,0,0,0,deep in you
1st&substream,RUGGED ASH,SYMPHONIC DEFOGGERS,FUTURE JAZZ,2,0,0,0,3,0,0,0,9,556,1097,1010,11,1058,0,0,RUGGED ASH†
1st&substream,KEEP ON MOVIN',N.M.R.,DANCE POP,1,0,0,0,3,122,244,230,0,0,0,0,0,0,0,0,KEEP ON MOVIN'
1st&substream,PARANOIA MAX～DIRTY MIX～,190,JUNGLE,5,0,0,0,6,0,0,0,8,562,1117,1032,0,0,0,0,PARANOIA MAX～DIRTY MIX～
2nd style,.59,dj TAKA,CHILL OUT,4,0,0,0,6,0,0,0,7,584,1157,1059,0,0,0,0,.59
2nd style,Digital MinD(A/T Libra mix),TaQ,MINIMAL,3,0,0,0,5,0,0,0,6,573,1136,1044,0,0,0,0,Digital MinD(A/T Libra mix)
2nd style,Electro Tuned(the SubS mix),TaQ,BIG BEAT,4,0,0,0,5,0,0,0,6,537,1073,998,0,0,0,0,Electro Tuned(the SubS mix)
2nd style,I Was The One,good-cool,ITALO HOUSE,2,0,0,0,3,0,0,0,3,348,696,655,0,0,0,0,I Was The One
2nd style,Indigo Vision(full flavour hide around mix),TaQ,GOA TRANCE,3,0,0,0,5,0,0,0,8,617,1233,1113,0,0,0,0,Indigo Vision(full flavour hide around mix)
2nd style,SP-TRIP MACHINE(for beatmania II),dj TAKA feat. DE-SIRE,JUNGLE,3,0,0,0,4,0,0,0,4,324,648,617,0,0,0,0,SP-TRIP MACHINE(for beatmania II)
2nd style,PUT YOUR FAITH IN ME(for beatmania II),dj TAKA feat. UZI-LAY,JAZZ FUNK,3,0,0,0,6,434,865,811,0,0,0,0,0,0,0,0,PUT YOUR FAITH IN ME(for beatmania II)
3rd style,CAN'T STOP FALLIN'IN LOVE,NAOKI,HYPER EUROBEAT,3,0,0,0,8,632,1259,1173,0,0,0,0,0,0,0,0,CAN'T STOP FALLIN'IN LOVE
3rd style,Don't Stop!,dj TAKA feat. JP Miles,HAPPY HANDBAG,4,0,0,0,4,0,0,0,4,453,906,863,0,0,0,0,Don't Stop!
3rd style,era (nostalmix),TaQ,DRUM'N'BASS,5,0,0,0,8,0,0,0,9,786,1549,1341,0,0,0,0,era (nostalmix)
3rd style,Holic,TaQ,HARD TECHNO,5,0,0,0,7,0,0,0,11,880,1747,1541,0,0,0,0,Holic
3rd style,LEADING CYBER,dj TAKA,DIGI-ROCK,4,0,0,0,6,0,0,0,7,645,1285,1154,0,0,0,0,LEADING CYBER
3rd style,Presto,Osamu Kubota,PIANO AMBIENT,3,0,0,0,8,0,0,0,8,508,1014,937,0,0,0,0,Presto
3rd style,R5,tigerYAMATO with ultrabeatbox,RAVE,5,0,0,0,8,0,0,0,11,889,1775,1639,0,0,0,0,R5
3rd style,REINCARNATION,dj TAKA,TRANCE,4,0,0,0,5,0,0,0,7,643,1283,1191,0,0,0,0,REINCARNATION
3rd style,Schlagwerk,TaQ,BIG BEAT,4,0,0,0,6,0,0,0,8,848,1688,1573,0,0,0,0,Schlagwerk
3rd style,Skyscraper,good-cool,EPIC HOUSE,4,0,0,0,6,0,0,0,7,629,1252,1169,0,0,0,0,Skyscraper
3rd style,Tangerine Stream,dj TAKA,AMBIENT,1,0,0,0,2,198,396,375,0,0,0,0,0,0,0,0,Tangerine Stream
3rd style,THE SAFARI,Lion Musashi,WORLD HOUSE,7,0,0,0,10,900,1781,1538,0,0,0,0,0,0,0,0,THE SAFARI
4th style,250bpm,AKIRA YAMAOKA,GABBA,5,0,0,0,8,0,0,0,10,726,1426,1229,0,0,0,0,250bpm
4th style,ABSOLUTE,dj TAKA,EPIC TRANCE,6,0,0,0,8,0,0,0,10,1218,2416,2179,11,1412,2774,2380,ABSOLUTE†
4th style,B4U,NAOKI,SPEED RAVE,5,0,0,0,9,0,0,0,10,1014,2016,1806,0,0,0,0,B4U
4th style,Broken My Heart,NAOKI feat.PAULA TERRY,HYPER EUROBEAT,5,0,0,0,7,0,0,0,9,914,1821,1672,0,0,0,0,Broken My Heart
4th style,CHECKING YOU OUT,good-cool feat. JP Miles,HIP HOP,7,0,0,0,9,0,0,0,11,700,1372,1124,0,0,0,0,CHECKING YOU OUT
